Sample,aupnn_prob,mc_prob,aupnn_logit,mc_logit
1,2.3725524e-06,2.3240864e-06,0.0024409548,0.002303209
2,1.0176207e-12,9.388702e-13,0.0025544914,0.0026019076
3,4.376228e-08,4.8368282e-08,0.0029216604,0.0029396787
4,1.3316052e-08,8.756935e-09,0.0027428102,0.0027967573
5,2.6741325e-14,2.3441539e-14,0.0033177969,0.0036540232
6,1.587389e-09,1.166901e-09,0.0027793061,0.002996196
7,1.0968945e-08,4.678864e-08,0.0029751721,0.0032699485
8,1.8339063e-07,1.8033015e-07,0.0029660633,0.002988952
9,3.0062224e-06,2.3648986e-06,0.002993931,0.0028481463
10,6.155457e-12,5.7568364e-12,0.0031307342,0.0036743411
11,3.618261e-10,2.5356925e-10,0.0029253375,0.0031578543
12,4.783598e-06,5.8170895e-06,0.0027161527,0.0028679732
13,7.042176e-08,1.3350622e-07,0.0035765697,0.004145126
14,4.644336e-08,7.199513e-08,0.002905661,0.0033528127
15,1.3440389e-07,1.6606913e-07,0.0027033936,0.002860097
16,3.797935e-13,2.8503827e-13,0.002161995,0.002241115
17,4.0504874e-10,1.9082065e-10,0.0026796877,0.002730548
18,2.1874627e-09,1.2524644e-09,0.0026688823,0.0028620476
19,1.8434017e-12,1.4689951e-12,0.0028000735,0.0030723838
20,9.562185e-09,6.852341e-09,0.00232425,0.0022628566
21,1.8039605e-11,1.2919838e-11,0.002439537,0.0025463453
22,6.7418884e-13,5.266787e-13,0.002658608,0.0028809584
23,4.554659e-13,3.7033546e-13,0.0028988656,0.0030823757
24,5.9502674e-09,1.4761254e-08,0.0028432545,0.003135044
25,0.00019450644,0.00017837105,0.002864813,0.003022699
26,6.441897e-17,5.5717556e-17,0.003361622,0.0039114924
27,1.7312628e-09,1.086834e-09,0.003421355,0.0036864334
28,2.8546035e-07,2.9579297e-07,0.0032175542,0.0032591275
29,8.525971e-06,6.614468e-06,0.0023204207,0.00234847
30,1.6166368e-08,8.18064e-09,0.0031119266,0.0028505602
31,3.5435914e-09,1.9263382e-09,0.0029603275,0.002844072
32,1.7385007e-12,1.4174998e-12,0.0026436206,0.0027897405
33,4.447941e-09,2.4841862e-09,0.002801126,0.0027275246
34,5.87914e-11,4.845527e-11,0.0026737014,0.0027360257
35,9.637072e-12,5.9617224e-12,0.0025893787,0.0026508677
36,1.1975991e-13,8.782527e-14,0.00245091,0.0024263556
37,2.0672379e-10,1.4460891e-10,0.0025411805,0.0026900615
38,3.1435103e-09,1.8185856e-09,0.0025695807,0.0026943285
39,1.790353e-09,9.250682e-10,0.002527657,0.002429431
40,5.636694e-07,5.4241997e-07,0.0033339737,0.0038419934
41,5.033348e-09,3.6267076e-09,0.0025133078,0.0024423623
42,0.00027531016,0.00027633974,0.0030014087,0.0030780407
43,2.0157743e-13,1.8387477e-13,0.003127062,0.003520556
44,6.9151065e-13,4.956687e-13,0.0026308317,0.0029013965
45,3.9879138e-11,3.0401744e-11,0.0024493777,0.0026897134
46,3.061761e-13,3.097583e-13,0.0029967274,0.0033201508
47,1.8656986e-12,1.3552876e-12,0.0029084736,0.0031163308
48,3.3707613e-05,2.8014196e-05,0.0030795422,0.0030273627
49,4.5235916e-11,3.8332806e-11,0.002422292,0.002377107
50,1.8734386e-08,2.8484964e-08,0.0027447904,0.0028157057
51,7.2199153e-09,3.9021204e-09,0.003033862,0.0031658066
52,3.774346e-11,3.2685334e-11,0.0025148306,0.002903864
53,0.0005193594,0.0006133746,0.0029964189,0.0031546718
54,6.111165e-11,4.43929e-11,0.0024706789,0.0025020475
55,4.5862628e-10,2.222218e-10,0.002942445,0.003048433
56,4.5175157e-14,2.9354184e-14,0.0030659193,0.0033961744
57,7.8878765e-10,6.701266e-10,0.0031049724,0.003552452
58,5.8983363e-07,4.974845e-07,0.0031006653,0.0032154853
59,1.8652477e-08,1.2098066e-08,0.0028834967,0.0032099774
60,0.00018037461,0.00016210687,0.0032227081,0.0034904608
61,8.480969e-08,1.1307403e-07,0.0027882075,0.0029381039
62,5.39515e-10,3.0798114e-10,0.0025145526,0.0025942766
63,1.4991212e-10,6.1729115e-11,0.002348354,0.0024074963
64,4.4533033e-05,3.7124628e-05,0.0031192834,0.003267794
65,1.8642383e-13,1.5330994e-13,0.003366674,0.0038097112
66,4.168932e-14,3.9845646e-14,0.003152661,0.003571628
67,8.1995347e-07,9.103494e-07,0.0026937423,0.0030484947
68,0.00036577653,0.00032245193,0.0028032572,0.0027570948
69,1.4918865e-10,1.0105133e-10,0.002323022,0.002475708
70,4.4929113e-10,3.0182265e-10,0.0024253665,0.0025399558
71,2.7535401e-11,2.4468101e-11,0.002790805,0.0031749464
72,4.0090686e-08,4.526655e-08,0.0027668509,0.0029451381
73,3.5603696e-16,3.116303e-16,0.00227961,0.0023974855
74,3.7247933e-08,6.78026e-08,0.0026132765,0.0027565113
75,2.535776e-09,1.450134e-09,0.0022253427,0.0022703104
76,6.773666e-14,6.892967e-14,0.0026955951,0.0028549866
77,1.2310101e-08,9.203568e-09,0.002913828,0.003085636
78,4.971717e-15,4.0118403e-15,0.0028972079,0.0031568478
79,7.3916695e-08,9.345736e-08,0.0029460408,0.0026828498
80,6.4972875e-05,6.8924615e-05,0.002336974,0.0024849565
81,7.9561504e-13,5.112871e-13,0.0031001717,0.0029430622
82,1.9668853e-09,1.2068933e-09,0.0034549935,0.003782301
83,1.3687194e-09,9.220167e-10,0.0031342236,0.00342826
84,4.2919204e-10,2.308457e-10,0.002624651,0.0026679127
85,1.7190125e-08,5.990417e-08,0.0029541303,0.0027720376
86,5.3455597e-08,4.8760764e-08,0.0032618,0.0030293153
87,2.1314197e-09,1.30032e-09,0.0026466018,0.00267248
88,9.1525953e-10,5.407582e-10,0.0029837948,0.0029054198
89,1.6567212e-08,1.1194137e-08,0.003247659,0.0034657808
90,1.0854957e-09,5.473777e-10,0.0030417382,0.0030600983
91,1.6591313e-10,8.356168e-11,0.0028168808,0.0028028763
92,4.902345e-12,4.2065314e-12,0.0029811838,0.0030844612
93,2.051751e-05,2.456351e-05,0.0028081033,0.003027005
94,8.41124e-08,7.787743e-08,0.002972771,0.002919417
95,1.1873702e-09,7.41694e-10,0.0028917163,0.0030325397
96,3.3827167e-13,2.4838505e-13,0.0023110157,0.0024384805
97,1.0759527e-14,1.0225118e-14,0.0029603571,0.00321768
98,3.6356512e-12,2.7198254e-12,0.0031993173,0.0034956555
99,6.3309864e-11,6.117222e-11,0.002821416,0.0030793773
100,2.7842766e-08,3.2008618e-08,0.0030213243,0.00331102
101,3.8328592e-15,3.2438872e-15,0.0026654508,0.0027316045
102,3.1361178e-09,3.2616136e-09,0.0027330378,0.0029639713
103,2.9924127e-10,1.9299183e-10,0.002584073,0.0025622866
104,2.000726e-09,1.5289965e-09,0.0029200478,0.0032703017
105,6.233548e-09,4.2964774e-09,0.0027412516,0.003042574
106,2.222448e-12,1.9239226e-12,0.0028472843,0.0030957556
107,4.3090811e-10,3.4383904e-10,0.002720805,0.0029629616
108,3.8604377e-09,8.0508876e-08,0.0027777704,0.0027775534
109,3.0007094e-10,1.9610186e-10,0.0026104304,0.0028422417
110,1.8089842e-09,1.5174182e-08,0.0030830847,0.003257441
111,1.0711183e-06,1.0624244e-06,0.00299316,0.0031056192
112,5.049912e-06,4.912694e-06,0.0029358037,0.003182514
113,1.3907852e-14,1.1373502e-14,0.00278034,0.0030365586
114,1.9995857e-08,7.243862e-08,0.002640977,0.0027375442
115,6.3433006e-08,7.0268335e-08,0.0033903285,0.003397052
