Sample,aupnn_prob,mc_prob,aupnn_logit,mc_logit
1,4.5971236e-09,2.3933138e-09,0.001985337,0.0019954408
2,1.5985404e-11,9.563845e-12,0.0026471377,0.0026977006
3,1.7163323e-08,1.0216309e-08,0.0021094137,0.0019618915
4,2.2208103e-05,1.3813897e-05,0.0021546495,0.0020839206
5,6.2058003e-10,3.4646436e-10,0.0023064439,0.0022440401
6,4.63388e-11,3.2149994e-11,0.0021146664,0.0021487991
7,6.2301375e-10,4.0098413e-10,0.002232936,0.002246875
8,6.1751557e-06,4.845512e-06,0.0022655488,0.002261352
9,2.2695913e-07,1.7738218e-07,0.0024235637,0.0023397203
10,1.5970344e-09,8.390469e-10,0.0020586364,0.0019994837
11,3.8539334e-08,1.02781605e-07,0.0018886906,0.0017510531
12,2.1762503e-08,3.4876052e-08,0.0023129622,0.002183186
13,1.2922055e-08,8.234056e-09,0.002623799,0.002590598
14,1.7590261e-07,1.6285867e-07,0.0021410722,0.0020808878
15,1.2273821e-09,9.768027e-10,0.0021911452,0.0022730776
16,2.0045276e-07,2.2172469e-07,0.0025655671,0.002642474
17,6.5268786e-08,1.0598194e-07,0.0021337182,0.002130453
18,7.1683985e-07,7.190208e-07,0.0025302551,0.0027472698
19,3.154358e-10,1.6376331e-10,0.0025188094,0.0026390536
20,5.842872e-08,9.8255875e-08,0.0023601868,0.0023863702
21,3.951618e-06,4.1250064e-06,0.0025546479,0.002420088
22,4.5493986e-12,3.2366896e-12,0.0029511156,0.0031185963
23,4.0415625e-07,3.9113263e-07,0.0026714592,0.0029982047
24,1.0947024e-06,8.372301e-07,0.0021366621,0.0020570618
25,1.0805401e-08,5.1979034e-09,0.0025982796,0.002526279
26,4.43373e-13,3.7168513e-13,0.0025942589,0.002923731
27,0.00015167387,0.00014293456,0.0023451864,0.0024172354
28,3.9227652e-09,2.7661258e-09,0.002240728,0.0021276318
29,2.311249e-08,6.922282e-08,0.0027234491,0.0026871632
30,2.7063756e-14,1.9528323e-14,0.002116235,0.0022545496
31,4.396107e-10,2.3767371e-10,0.0021642512,0.0021028293
32,2.5991102e-07,3.2005292e-07,0.0023234598,0.002390698
33,0.00036817067,0.0002952844,0.0024708887,0.0025201596
34,3.3237928e-08,7.6618626e-08,0.0022412,0.0020252625
35,1.3187065e-07,1.5230717e-07,0.0022899872,0.0022790816
36,3.795371e-08,4.6624486e-08,0.0019803275,0.0019145579
37,1.5315122e-12,1.1023245e-12,0.0021618013,0.0020291526
38,5.9756303e-07,5.165704e-07,0.0025407947,0.0023632038
39,1.5537307e-12,1.3235452e-12,0.0021594823,0.0020334418
40,3.866178e-08,4.4969546e-08,0.0024312683,0.0025061977
41,3.7142996e-07,3.7721e-07,0.00228681,0.0021189244
42,4.8369807e-06,3.919904e-06,0.002240074,0.0022866228
43,9.929744e-07,1.097021e-06,0.0024101702,0.002439977
44,2.2957642e-05,2.3076116e-05,0.0023093568,0.002316443
45,8.958301e-12,6.4707927e-12,0.002405661,0.0025229338
