Sample,aupnn_prob,mc_prob,aupnn_logit,mc_logit
1,4.24823e-07,4.261524e-07,0.0019982802,0.001795613
2,5.63181e-06,4.4048184e-06,0.0019747969,0.0018012071
3,2.6955247e-05,2.6460917e-05,0.0017559368,0.0017304263
4,0.00026633524,0.00022182337,0.00161595,0.0013902859
5,3.237654e-06,2.2831946e-06,0.0015524895,0.0015183431
6,8.969184e-07,7.7895015e-07,0.0014797617,0.0013735916
7,0.00028591126,0.00030405846,0.002119221,0.0019768674
8,3.790988e-06,3.2806422e-06,0.0017577476,0.0015943218
9,3.796128e-05,3.7950205e-05,0.0018877641,0.0017298721
10,4.022082e-05,3.1721032e-05,0.0017941815,0.0016198021
11,6.6867887e-07,4.847636e-07,0.001423585,0.001179174
12,0.00018976524,0.00018074982,0.0017446469,0.0015790535
13,1.8944023e-06,1.3595924e-06,0.0017163039,0.001574993
14,2.2523439e-07,1.6585012e-07,0.0018749429,0.0015907408
15,3.3574477e-06,2.5941486e-06,0.0013276874,0.0011091537
16,0.00020726924,0.00016544186,0.0015930244,0.0015790877
17,1.1343144e-06,9.687675e-07,0.0013871419,0.0012185309
18,1.8107312e-07,1.6447828e-07,0.0015293732,0.0014039418
19,1.9825436e-06,1.5302002e-06,0.0015373597,0.0013757881
20,4.0248597e-05,3.1649626e-05,0.0015311198,0.0014177372
21,5.0067896e-08,8.668393e-08,0.0014489271,0.0013373819
22,7.395749e-05,7.484778e-05,0.0014988224,0.001322005
23,1.6267807e-11,1.17959574e-11,0.0017979436,0.0017599893
24,5.396863e-07,4.5932802e-07,0.0017249698,0.0015706281
25,1.975161e-06,1.6187003e-06,0.0012670036,0.001118451
26,7.018131e-05,6.260885e-05,0.0017814584,0.0015831623
27,1.3645148e-05,1.2040888e-05,0.0015912959,0.0014184042
28,9.8513745e-05,8.29782e-05,0.0014728963,0.0013848603
29,4.3760547e-08,3.51528e-08,0.0014667597,0.001283568
30,5.707893e-05,4.755105e-05,0.0017748859,0.001660514
31,3.040341e-06,1.7846447e-06,0.0012159289,0.001025698
32,4.562175e-09,2.5685265e-09,0.001535916,0.0014056487
33,0.00031470667,0.00024743305,0.001986156,0.0019367746
34,5.450687e-08,8.9445784e-08,0.0017000572,0.0014765133
35,1.6608234e-09,9.734109e-10,0.0015434216,0.001428267
36,1.2449992e-07,1.344883e-07,0.0014839589,0.001370503
37,8.5202936e-07,4.845402e-07,0.0016332939,0.0015587845
38,6.510881e-05,5.2980347e-05,0.0019071543,0.001720889
39,4.1948433e-06,2.5534412e-06,0.0014999105,0.0013177005
40,1.0857527e-06,8.7827766e-07,0.0017257833,0.0016099474
41,2.1912197e-09,9.69842e-10,0.0014863522,0.0014031382
42,9.159441e-09,7.488413e-08,0.0019338138,0.0018258027
43,1.6745289e-06,1.5097119e-06,0.0017924216,0.001658134
44,2.667736e-05,2.597481e-05,0.001748624,0.0016546554
45,0.0001948403,0.00013461159,0.0014302726,0.0013152149
46,1.0823042e-08,4.8809945e-08,0.0016017727,0.0015582712
47,1.6050798e-06,1.0573216e-06,0.0015892324,0.0014902267
48,1.2154452e-06,7.565141e-07,0.0014748517,0.001240045
49,4.3815754e-07,4.006666e-07,0.0018458033,0.0016828787
50,1.0729546e-08,3.7976284e-09,0.001417284,0.0012955312
51,5.895721e-09,5.5840834e-09,0.0018120914,0.001716756
52,1.0240824e-08,5.917034e-09,0.0016414381,0.0014750669
53,7.0774893e-09,6.1888707e-09,0.0020071575,0.0018521966
54,6.4211054e-06,5.5609057e-06,0.001956558,0.0018163893
55,3.8196123e-07,3.0998078e-07,0.0020277933,0.0018641846
56,3.8793823e-06,3.3779102e-06,0.0014512441,0.0013390458
57,1.8585525e-06,1.401131e-06,0.0017194415,0.0013479149
58,1.530074e-05,1.2682353e-05,0.0018517975,0.0016879771
59,6.2598855e-07,5.115616e-07,0.001605354,0.0014268565
60,1.5404762e-08,1.6362184e-08,0.0016556247,0.0014973556
61,7.556225e-05,5.5753684e-05,0.0013780729,0.0012457331
62,7.855117e-06,6.558857e-06,0.0018998422,0.0017996458
63,1.9268443e-06,1.7282485e-06,0.0014980817,0.0013414208
64,0.00012868743,0.00013667399,0.0018324002,0.0017049452
65,4.720001e-05,5.998822e-05,0.001762601,0.0017082689
66,1.2085998e-06,9.902972e-07,0.0016963253,0.0015119866
67,3.2325936e-06,2.447953e-06,0.002008168,0.001907688
68,6.6638717e-09,1.17850965e-08,0.0016816305,0.001579408
69,7.101338e-08,8.9969255e-08,0.0015438942,0.0013787306
70,8.6823843e-07,7.888827e-07,0.0019453885,0.0018232429
71,8.9724274e-08,9.9256056e-08,0.0016185751,0.0015238349
72,9.2143614e-07,5.492825e-07,0.0015404467,0.0013581295
73,9.187379e-08,9.417737e-08,0.001280363,0.0011865728
74,1.1651142e-08,7.130858e-09,0.0016628609,0.0016143101
75,7.7365825e-05,7.449069e-05,0.0018309162,0.0017547722
76,7.906737e-06,6.998985e-06,0.0015669368,0.0013934287
77,5.8471907e-09,2.5298024e-09,0.0017555853,0.0015571143
78,9.946822e-07,9.735173e-07,0.0018111994,0.0016595677
79,1.1970808e-05,8.21387e-06,0.0017074684,0.0016170875
80,1.642685e-09,8.3470736e-10,0.0015760551,0.0015168898
81,5.6099266e-06,5.220857e-06,0.0019276548,0.0017831961
82,1.1945606e-06,1.1244846e-06,0.0018968711,0.0017913426
83,2.3363732e-08,4.4389257e-08,0.0014993573,0.001382506
84,7.621901e-05,8.904932e-05,0.0019780553,0.0019095028
85,8.0776715e-08,8.949939e-08,0.0015610169,0.0013913411
86,1.7538245e-07,1.459893e-07,0.0018130837,0.0014603232
87,5.0876124e-06,5.3129e-06,0.0016767208,0.0015443966
88,5.89114e-07,5.2702046e-07,0.0013601079,0.0012580147
89,1.946793e-06,1.7308793e-06,0.0016495188,0.001520946
90,4.4468527e-07,4.0239107e-07,0.0020209705,0.0018221253
91,5.284355e-07,4.6002194e-07,0.0017651173,0.0016517708
92,6.3137535e-09,3.564365e-09,0.0014908437,0.0013607552
93,1.7196343e-06,1.4199361e-06,0.0018384319,0.0018172809
94,8.4834404e-08,1.0749554e-07,0.0012574745,0.0011282655
95,8.051134e-06,7.0455676e-06,0.0017169007,0.001620407
96,7.59201e-06,6.5994604e-06,0.001967576,0.0018842071
97,2.1367126e-07,2.3186863e-07,0.001926397,0.0018152758
98,1.9085154e-07,2.5589853e-07,0.001869446,0.0017594271
99,6.1640674e-07,6.002277e-07,0.0016368364,0.0014709618
100,3.8059957e-07,2.635492e-07,0.0015663024,0.0014034522
101,1.914962e-05,2.0293704e-05,0.0017182982,0.0016041372
102,3.1513176e-07,2.489416e-07,0.0015795497,0.0014386768
103,1.0087055e-05,6.534466e-06,0.0019209519,0.0015874337
104,1.3952522e-05,1.3142889e-05,0.0016935094,0.0015937417
105,1.1891799e-07,1.3413884e-07,0.001396545,0.0012145868
106,1.29491005e-08,2.4018108e-08,0.0016009706,0.0014978311
107,6.923585e-07,5.1382426e-07,0.0015029901,0.0012233623
108,9.957614e-10,6.273953e-10,0.001380907,0.0013558997
109,1.9715678e-06,1.947034e-06,0.0017796207,0.0016616817
110,1.0271088e-07,1.01208265e-07,0.0015070853,0.0015025155
111,1.8095647e-06,9.856656e-07,0.0012194045,0.0010124007
112,2.2718688e-05,1.6777567e-05,0.0015707313,0.0014835112
113,3.8209955e-06,2.6373302e-06,0.0015369023,0.00134332
114,5.664249e-07,4.117956e-07,0.0014003898,0.0011549412
115,2.7110264e-06,2.3375733e-06,0.0015649374,0.0015653876
116,5.2057817e-06,5.3002e-06,0.0015643358,0.0014387409
117,2.9432451e-06,2.3155972e-06,0.0016755621,0.0014865798
118,1.2354202e-07,1.1939791e-07,0.001773083,0.0015755123
119,4.7972026e-06,4.6707637e-06,0.002083422,0.0019979945
120,2.3698405e-05,1.925532e-05,0.0013185526,0.0011641172
121,6.8102396e-05,5.0229475e-05,0.0016041266,0.0014712478
122,7.250074e-06,7.248925e-06,0.0018050428,0.0016591657
123,3.0360481e-05,3.1250518e-05,0.0018746619,0.0018071732
124,0.00017331683,0.00013745464,0.0018259337,0.00163527
125,0.00031184132,0.00024068555,0.0021716512,0.001995791
126,1.106004e-07,1.1987838e-07,0.0017752488,0.0015806414
127,2.9778864e-08,8.870738e-08,0.0012880915,0.0011946423
128,4.2620446e-08,8.2177394e-08,0.0016332134,0.0015438832
129,1.3783725e-07,1.3636718e-07,0.0015620299,0.0015125393
130,9.925502e-08,8.840761e-08,0.0015834835,0.0015348746
131,3.367022e-05,2.8694561e-05,0.0019473911,0.0018652808
132,1.2632743e-06,1.0722184e-06,0.0014571733,0.0013763907
133,3.212352e-06,2.546494e-06,0.0016366978,0.0013135272
134,2.8834054e-07,2.2351152e-07,0.0016965204,0.001564723
135,7.2104865e-07,6.152709e-07,0.0015379998,0.001424531
136,2.637638e-07,3.0510952e-07,0.0015973003,0.0014864552
137,2.550618e-05,2.9568819e-05,0.0014233867,0.0013734745
138,4.446529e-05,3.949138e-05,0.0015381187,0.0014055088
139,0.0001897489,0.00016379592,0.0018083152,0.0016664678
140,1.4179294e-08,1.985084e-08,0.0016710542,0.0015017608
141,1.1120405e-06,1.1480447e-06,0.0019113626,0.0018877359
142,1.3856423e-06,9.769497e-07,0.0014849011,0.0012593311
143,3.1589258e-07,2.868648e-07,0.0016283587,0.0015134347
144,5.5931825e-05,3.8315e-05,0.0015629149,0.0013868547
145,2.1875087e-05,1.7881102e-05,0.0017165884,0.0016039278
146,2.848479e-07,2.5592487e-07,0.0020295097,0.00195965
147,6.297341e-07,4.1187096e-07,0.0013250253,0.0011487555
148,3.693427e-05,3.1625088e-05,0.0017460132,0.0017232314
149,9.432008e-07,8.52631e-07,0.001701407,0.0016386114
150,1.7826856e-06,1.6526774e-06,0.001773683,0.0015649596
151,0.00010971976,8.2078834e-05,0.001682166,0.0015419598
152,8.21843e-06,8.741418e-06,0.0018498519,0.0017595337
153,2.0774631e-07,1.6962063e-07,0.0013492574,0.0012483549
154,1.7180113e-05,1.3810013e-05,0.001692787,0.0015511177
155,0.00012278649,9.985353e-05,0.0017390217,0.0016485564
156,5.9422153e-05,5.533923e-05,0.0018576152,0.0017191976
157,5.3376397e-07,4.1930542e-07,0.0013805088,0.0011693303
158,2.3082222e-05,2.2521814e-05,0.0015880035,0.0015226573
159,8.225677e-07,6.878965e-07,0.0015083895,0.00137546
160,0.00026393964,0.0001862805,0.0018831175,0.0017073005
161,1.8731674e-06,1.7261102e-06,0.0016762918,0.0015025084
162,2.6635128e-06,2.3001155e-06,0.0014429927,0.001230911
163,0.00013447877,0.000100379875,0.0017514859,0.0015416233
164,1.55326e-05,1.40696175e-05,0.0016595529,0.0014731744
165,5.293075e-06,4.2689358e-06,0.0016001292,0.0014562715
166,4.163751e-05,3.0325375e-05,0.0016842961,0.0014398678
167,8.1178155e-07,7.395874e-07,0.001668466,0.0015650863
168,6.946545e-07,4.4300572e-07,0.0013303792,0.0011745936
169,9.747785e-09,5.908554e-09,0.0016288972,0.0015918385
170,6.215671e-07,6.5175936e-07,0.0016078736,0.0014851983
171,2.2526205e-05,1.5922446e-05,0.0017761253,0.0017074269
172,4.3261075e-08,6.324621e-08,0.0017719433,0.0015443488
173,2.160551e-08,6.023458e-08,0.0012116717,0.0010866506
174,2.7875733e-06,1.7664497e-06,0.0014920973,0.0011829383
175,0.00013105894,0.00010206172,0.0015584077,0.0014708965
176,5.7537843e-08,7.0690355e-08,0.0015463384,0.0014868465
177,2.317303e-07,2.1881017e-07,0.0013934381,0.0012989553
178,1.0175471e-06,6.8332656e-07,0.0018800937,0.0016187695
179,4.5437167e-07,3.852716e-07,0.0015575892,0.0014693065
