Sample,aupnn_prob,mc_prob,aupnn_logit,mc_logit
1,7.554336e-11,6.2500394e-11,0.0025588449,0.0026675204
2,3.2605314e-11,2.0867749e-11,0.003357092,0.0034232654
3,2.880076e-12,1.9076607e-12,0.0025703358,0.0025506786
4,4.161247e-06,1.7428139e-06,0.0025527275,0.0026009767
5,5.328865e-12,4.1474337e-12,0.0028934854,0.0029210665
6,1.5081766e-14,1.1801248e-14,0.0026755303,0.0028889882
7,7.12739e-09,6.442515e-09,0.0025335583,0.0026298456
8,1.7910567e-06,1.3007676e-06,0.0028063722,0.002851959
9,9.212479e-09,4.7733906e-09,0.002961142,0.0029614957
10,2.4958037e-11,1.8815208e-11,0.0027157248,0.0027224633
11,4.935312e-09,6.7377336e-08,0.002544703,0.0024385725
12,8.827984e-11,5.4976884e-11,0.0029098915,0.0028334735
13,6.7344796e-10,5.077746e-10,0.003092008,0.0032456706
14,5.580813e-08,7.911117e-08,0.002657913,0.002742279
15,2.940309e-12,2.1090798e-12,0.0031217672,0.0034380327
16,2.324766e-05,2.6199132e-05,0.0030669111,0.0031954385
17,2.4239153e-09,1.4042204e-09,0.0025936502,0.0026802786
18,8.5749585e-09,7.824908e-09,0.0029343143,0.0033327406
19,2.9598524e-13,2.0212246e-13,0.0030110348,0.0032508732
20,1.8852566e-09,1.4341691e-09,0.0030006764,0.0030798013
21,4.174568e-06,3.7643536e-06,0.0031539293,0.0031225074
22,1.4967044e-15,1.2205167e-15,0.0036685057,0.0040353267
23,2.1065687e-06,1.983109e-06,0.0028505563,0.0030730353
24,7.4036516e-10,4.2925302e-10,0.0030021116,0.0031607721
25,1.4940355e-05,1.4052951e-05,0.0032507367,0.00325395
26,3.4375707e-16,2.8894943e-16,0.003163209,0.0037022869
27,2.8251077e-07,2.7649523e-07,0.0030381267,0.0032309068
28,5.075633e-09,2.9032554e-08,0.0028682144,0.0028555326
29,7.648334e-07,7.8698264e-07,0.0033686277,0.0033761158
30,2.4339055e-19,1.7671047e-19,0.003011444,0.0032620386
31,5.3988e-10,3.346918e-10,0.0028675501,0.0028512941
32,3.7962866e-12,3.690073e-12,0.0028374002,0.0029783938
33,5.7766083e-05,7.399787e-05,0.0027765885,0.0029490732
34,1.9309974e-11,1.319415e-11,0.0030087535,0.0029594528
35,5.9782174e-08,9.6074714e-08,0.0029270956,0.0030693768
36,1.7674704e-11,1.5055797e-11,0.0025815482,0.0026751575
37,3.2591272e-15,2.4852607e-15,0.002637088,0.0025556644
38,1.5615538e-11,8.757378e-12,0.0026669353,0.0025905469
39,2.8837693e-13,2.4071088e-13,0.002950967,0.0029385984
40,1.9368686e-10,9.794755e-11,0.0032100675,0.0034977535
41,1.9736829e-10,1.0344392e-10,0.0026834372,0.0025524646
42,1.840256e-07,1.8918368e-07,0.0028012905,0.0030666986
43,2.2894487e-06,2.5337856e-06,0.0028915685,0.00298487
