Sample,aupnn_prob,mc_prob,aupnn_logit,mc_logit
1,3.0849794e-08,3.8653802e-08,0.0027236228,0.002705511
2,1.2706238e-13,1.0548949e-13,0.0022548963,0.0023209048
3,3.8547235e-08,8.748303e-08,0.0029074654,0.0029049865
4,3.4809484e-09,3.0071445e-09,0.0027586585,0.002813451
5,3.9555106e-11,3.398168e-11,0.0029431176,0.0033303567
6,5.3471013e-13,4.7595093e-13,0.0028726377,0.0030842081
7,2.5205906e-09,1.4063432e-09,0.0025501437,0.002762066
8,2.8440704e-07,2.7212712e-07,0.0027122973,0.0027162111
9,4.8050346e-08,3.685457e-08,0.0026782644,0.0024720803
10,1.8678367e-10,1.3519268e-10,0.0029325862,0.003368722
11,3.789478e-10,2.4628333e-10,0.0026358406,0.002804072
12,4.3260403e-08,4.2781437e-08,0.0022902924,0.0022731395
13,2.0537373e-08,2.766631e-08,0.0030194432,0.0032659338
14,5.1462584e-06,5.5490455e-06,0.002489267,0.002767036
15,8.065272e-08,9.6131025e-08,0.0026594403,0.0029105952
16,2.4654776e-13,1.8333628e-13,0.0019401081,0.0019247496
17,8.768249e-10,4.258972e-10,0.0024646204,0.002474479
18,8.4263325e-09,3.8509484e-08,0.0023122306,0.0024032125
19,7.4551254e-11,5.7668995e-11,0.0026661,0.0029046035
20,3.3288927e-11,2.8271257e-11,0.0023039503,0.0022242365
21,2.2400486e-10,1.6510954e-10,0.002510747,0.0026008124
22,1.4260384e-11,8.593014e-12,0.0022623825,0.0023897006
23,4.0059872e-10,2.5842267e-10,0.0026209312,0.0027594743
24,4.3301354e-09,3.046766e-09,0.0026211508,0.0029215373
25,0.00011039245,9.934936e-05,0.002625166,0.00268508
26,1.6995024e-13,1.3340509e-13,0.0029763603,0.00338267
27,4.269622e-09,2.7131672e-09,0.0031033233,0.0032820106
28,4.048092e-08,8.55247e-08,0.0029523752,0.0029572307
29,0.00028824277,0.00019430828,0.0024367918,0.0025147821
30,9.698059e-09,4.6943356e-09,0.0029382075,0.002672178
31,5.507085e-10,2.1839815e-10,0.0026732807,0.0025088426
32,2.8502591e-11,2.3206213e-11,0.0025170196,0.002712026
33,8.430054e-09,3.834903e-09,0.0026380515,0.0024901691
34,1.9499079e-10,1.2369056e-10,0.0026271103,0.0027532799
35,1.7774533e-10,1.3201343e-10,0.0023524726,0.0023587511
36,1.286359e-12,9.10159e-13,0.0023289362,0.002285556
37,1.3634574e-12,1.0606615e-12,0.002092945,0.00217101
38,4.186882e-08,3.733182e-08,0.002462808,0.0025400475
39,5.948425e-09,3.0357143e-09,0.0023768195,0.002325518
40,1.4305894e-06,1.2957807e-06,0.003034313,0.003447865
41,1.6017137e-06,1.6304201e-06,0.0024525062,0.0023842878
42,2.1535081e-06,2.1281196e-06,0.0026314745,0.0026112888
43,4.0565636e-13,3.048036e-13,0.002926526,0.003379048
44,3.9958406e-12,2.9373387e-12,0.0023917758,0.0025809933
45,1.3180209e-11,8.246583e-12,0.0025641434,0.0027389373
46,2.5886446e-12,2.6030094e-12,0.002923326,0.003409829
47,7.460926e-11,5.3685407e-11,0.0026576335,0.0028686852
48,2.136748e-05,1.8310977e-05,0.0029274512,0.0028596432
49,6.9495684e-13,5.4469417e-13,0.0022191417,0.0021129085
50,1.5321349e-07,1.5434345e-07,0.0026891811,0.002810706
51,1.2609161e-08,6.527604e-09,0.0029962396,0.0031489024
52,2.0806754e-09,1.2851462e-09,0.002495632,0.002849026
53,2.184791e-05,2.4352299e-05,0.002829832,0.0029036496
54,6.513458e-09,4.896234e-09,0.0027552247,0.0027544359
55,1.5416104e-07,1.3652367e-07,0.0026713393,0.0028134913
56,5.142537e-13,3.3104587e-13,0.0028660467,0.0031245279
57,3.5359468e-10,2.121481e-10,0.0026651048,0.0029220348
58,8.926025e-07,7.0866577e-07,0.0028481353,0.0029525834
59,3.2546512e-09,2.2085314e-09,0.0028495206,0.0032877496
60,1.5996619e-06,1.5138314e-06,0.0030337533,0.003302471
61,1.8161496e-10,1.4024722e-10,0.0026133799,0.0027169988
62,1.551837e-08,7.7887435e-08,0.0026451007,0.002861928
63,1.2781556e-09,5.766993e-10,0.002055125,0.0020169315
64,4.65313e-05,3.545818e-05,0.0027281246,0.0028638653
65,1.086933e-12,8.863847e-13,0.0031129422,0.0035143855
66,1.0094211e-13,9.3100576e-14,0.0029488404,0.0032911925
67,2.0265686e-06,2.173526e-06,0.0024944511,0.0027702411
68,0.00042425562,0.0003706504,0.0027552252,0.0027413717
69,2.403366e-09,1.0478784e-08,0.0023370148,0.0024022455
70,1.4690312e-09,1.1462271e-09,0.0021802236,0.0023014136
