,true,pred,count_errors,mean_margin,aupnn_logit,aupnn_prob,mc_prob,mc_logit,mc_prob_top1,mc_logit_top1,aupnn_prob_top1,aupnn_logit_top1,mc_prob_top1_true,mc_logit_top1_true,aupnn_prob_top1_true,aupnn_logit_top1_true
27,3,8,54,2.1327990602563927,0.018309362129204757,0.001563771080167529,0.0013625116368363398,0.016421941574662875,0.0009534444646556007,0.005100682028569231,0.001091109554343518,0.005183856779088525,0.000768321341023325,0.005924518836696618,0.000899193570784672,0.006228007151986664
22,3,2,36,2.382817692226834,0.01688567792168917,0.001357118170820544,0.0011908196064558992,0.015078044755177319,0.0008421832014972516,0.004781588737387152,0.0009659847402410908,0.0055096354076845395,0.0005533608742487204,0.005077359059618523,0.0006663890149093189,0.005547098149286745
73,9,8,29,2.116523759118442,0.018770676234672764,0.0014028188976570868,0.0011700938433508844,0.016958974558731556,0.0008156925625708124,0.005048798092094935,0.0009863472121039254,0.005207228217402355,0.0005339777735139653,0.005460794115888623,0.0006905256596898106,0.005819022270112147
72,9,7,26,1.3173940456830537,0.01791589764448307,0.0021784790884479053,0.002048618242042678,0.015837625385476947,0.0014815614078122939,0.006143985441527634,0.0015460843793474168,0.006704404108369527,0.001311861333481155,0.005247794476767523,0.0014231707622316776,0.005830847640306858
17,2,7,21,1.3656895955403645,0.016002457588911004,0.00181420678269374,0.0016078850785560905,0.013754250526073375,0.0011668990358711057,0.004853199402402505,0.0013130830572792935,0.005662487531524281,0.000873750969639123,0.0046658922829442995,0.0010200509964414424,0.005262467744094947
43,5,8,20,1.091985011100769,0.01810065587051208,0.002022759357350825,0.0017562919936608,0.01618415554985399,0.001243090117350175,0.005160783871542616,0.0014134783777989901,0.005119852861389465,0.0006574819442107134,0.004943323717452526,0.0008035789685436225,0.0057650762144475665
4,0,8,18,2.5775884522332086,0.017846407834440425,0.001019919795200784,0.0008699647276241567,0.015756725954512694,0.0006290523162735424,0.005132940041625612,0.0007290180633895053,0.005059933186405189,0.00036410158414426245,0.0051793498504492394,0.00043401810057726493,0.006178166510330255
24,3,5,18,2.0640782250298395,0.01895585469901558,0.0016141191788644454,0.0013810900454700012,0.01722605184962348,0.001000358385075087,0.00587275577709075,0.001166665147239714,0.006128147373803734,0.0007076325077579658,0.005951017995054467,0.0008710166935214628,0.006386006716638756
18,2,8,17,1.634673988117891,0.017431259867461222,0.001584266526419078,0.0014182031019812989,0.01624599592212364,0.0009717693437243102,0.004951046204523077,0.0011000832010347728,0.005039667409351583,0.000816631200798203,0.005036906585754665,0.0008628003698664464,0.0054529089316286885
69,9,4,14,1.0314322880336217,0.018784265898700223,0.002443741088167593,0.0019334627681278215,0.01684152301666987,0.0013770650319721285,0.006927401692207321,0.0017438384113899498,0.006836431500102743,0.0010818436815367603,0.005712510036703686,0.001410135738426841,0.006126329269526207
