Sample,aupnn_prob,mc_prob,aupnn_logit,mc_logit
1,2.8457106e-07,3.1968645e-07,0.0020470691,0.0018639115
2,2.3935957e-07,2.2217887e-07,0.002157764,0.0019992494
3,7.937094e-06,7.2088246e-06,0.0018595707,0.0018345885
4,0.000310011,0.00028588492,0.0019016336,0.0017142824
5,1.540193e-05,1.158634e-05,0.0017329203,0.0017138165
6,5.6665045e-10,3.33077e-10,0.0016274593,0.0015578879
7,4.9063867e-05,3.9759238e-05,0.002029444,0.0019765932
8,8.783779e-06,7.276266e-06,0.0016455475,0.001524391
9,1.3685748e-06,1.4857211e-06,0.002067403,0.001920837
10,5.485824e-06,4.75323e-06,0.0020847265,0.0019432812
11,2.142289e-06,1.911901e-06,0.0017440898,0.001480975
12,0.00027759018,0.00021125386,0.0018988204,0.0017664563
13,9.355993e-08,9.26754e-08,0.0020500922,0.0019711182
14,2.604144e-08,3.620917e-08,0.0018791847,0.0016015641
15,1.8546104e-06,1.4530588e-06,0.0016816023,0.0015596027
16,5.674017e-06,4.251527e-06,0.0015641667,0.0015295021
17,2.6055824e-07,2.3301435e-07,0.0016049445,0.001438991
18,3.085593e-07,3.1235706e-07,0.0017377853,0.0016365444
19,6.784172e-07,5.7491786e-07,0.0017733433,0.0016348644
20,2.5818492e-05,1.9555546e-05,0.001491189,0.001405235
21,5.9596424e-08,1.0082495e-07,0.0014914584,0.0014299566
22,3.3207252e-05,3.24716e-05,0.0016347875,0.0014802446
23,3.482498e-12,2.4664194e-12,0.0019689586,0.0019743
24,9.544035e-07,8.659204e-07,0.0018995439,0.001787537
25,3.682164e-07,3.6673893e-07,0.0016245175,0.0014690952
26,1.555702e-05,1.4754231e-05,0.001991894,0.0018751855
27,1.1545846e-05,9.475951e-06,0.0017364589,0.0015956813
28,1.0158841e-06,6.850272e-07,0.001591175,0.0015481951
29,3.8913818e-08,5.8080264e-08,0.0015347253,0.0013988725
30,2.9131541e-05,2.3783074e-05,0.0018080202,0.0017007915
31,4.901193e-06,3.615823e-06,0.0014018748,0.0011808755
32,3.545271e-08,3.1148932e-08,0.0015217777,0.0014312703
33,4.7132602e-05,4.1418243e-05,0.0022059372,0.002234983
34,3.6364316e-08,1.03504036e-07,0.001989565,0.0017891094
35,3.7494063e-10,1.8134919e-10,0.0018793514,0.0018182705
36,9.539182e-08,1.1024525e-07,0.0014961316,0.0014437584
37,2.2030029e-06,1.4714827e-06,0.0017437617,0.0017124147
38,2.4324243e-06,2.0252555e-06,0.0021356132,0.0020308027
39,2.8919188e-05,2.4241815e-05,0.0016484046,0.0014445221
40,2.2068686e-07,2.0818472e-07,0.0018265652,0.0017526107
41,1.161285e-09,7.484239e-10,0.001931865,0.0019159594
42,1.9067119e-07,1.8105742e-07,0.0019318439,0.0017834267
43,3.3515985e-08,9.109776e-08,0.0020242007,0.001958972
44,1.0059692e-05,1.0853483e-05,0.0019023106,0.0018627449
45,0.00022426723,0.00020118195,0.0016711464,0.001642638
46,1.4921278e-08,9.139491e-09,0.0018121655,0.0018616245
47,2.2309534e-06,1.7822125e-06,0.0016606426,0.0015865238
48,2.712194e-06,2.0169298e-06,0.0017244231,0.0014509523
49,2.2704533e-07,2.5114971e-07,0.0019850784,0.0019287107
50,3.092571e-09,1.4471726e-09,0.0017226381,0.0015808615
51,3.5958216e-09,1.979112e-09,0.001912732,0.001861116
52,1.8734339e-08,1.0185589e-08,0.0017893799,0.0017062224
53,2.2738402e-09,1.5489896e-09,0.0021129288,0.001989098
54,3.6670933e-08,5.1275777e-08,0.0019693929,0.0018784938
55,1.0552212e-07,1.01191155e-07,0.002126468,0.0020036758
56,5.246134e-05,3.9203496e-05,0.0009655613,0.00089282985
57,2.3179125e-07,1.8456643e-07,0.0018526169,0.0015289687
58,1.7410829e-06,1.5819925e-06,0.0020468812,0.0019859136
59,4.9344678e-08,7.4827e-08,0.0017492708,0.0016577466
60,2.0273787e-07,1.6581444e-07,0.0016756556,0.0015861604
61,0.00023046791,0.0002432444,0.0015918647,0.0014731926
62,2.0476502e-08,3.8337525e-08,0.0020084423,0.0020199046
63,1.6349054e-08,2.0265459e-08,0.0017331847,0.0016674724
64,7.964124e-06,8.857952e-06,0.0019349076,0.0018577359
65,1.1681221e-06,1.185288e-06,0.0019350516,0.0018772553
66,1.269678e-06,9.230687e-07,0.0017268386,0.0016000691
67,1.8799513e-08,9.598152e-09,0.0021352107,0.0021168287
68,6.405249e-08,4.945638e-08,0.0014080281,0.0012922973
69,1.6514194e-09,9.666263e-10,0.0017770716,0.0016371917
70,2.8843664e-10,1.8460365e-10,0.0018035597,0.001723137
71,7.5533045e-08,1.0194538e-07,0.0018136079,0.0017831138
72,1.4970672e-05,1.4045442e-05,0.0018014687,0.0016511072
73,2.6929215e-06,2.582895e-06,0.0015028575,0.001424459
74,1.3414297e-08,3.8173518e-08,0.0018359057,0.0018269749
75,1.3173769e-05,1.5026676e-05,0.0019573532,0.0019076244
76,1.1764479e-06,9.821986e-07,0.0019006635,0.0016755705
77,7.3339573e-10,3.7429856e-10,0.0017990909,0.0016578624
78,3.614119e-08,4.0804384e-08,0.0021129607,0.0020032197
79,1.7444753e-06,1.5855832e-06,0.0017195502,0.0016582381
80,1.1220647e-07,9.1590195e-08,0.0016402255,0.0015726857
81,1.1524452e-05,1.2573097e-05,0.0020017175,0.001955121
82,6.07548e-09,3.938861e-09,0.0021015827,0.002114566
